"source_system","website_id","original_sku","internal_sku","name","canonical_name","product_family","research_classification","strength_value","strength_unit","form","package_quantity","package_unit","storage_requirements","catalog_type","notes"
"woocommerce:oligopolypeptides.com","448","OP-LON-EPIT-50MG","OP-R-00448","Epitalon 50mg Research Peptide","Epitalon","Longevity Research","Research peptide","50","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","449","OP-GH-IPAM-5MG","OP-R-00449","Ipamorelin 5mg Research Peptide","Ipamorelin","Growth Hormone Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","452","OP-GH-IGF1LR3-1MG","OP-R-00452","IGF-1 LR3 1mg Research Peptide","IGF-1 LR3","Growth Hormone Research","Research peptide","1","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","453","OP-GH-PEGMGF-2MG","OP-R-00453","PEG-MGF 2mg Research Peptide","PEG-MGF","Growth Hormone Research","Research peptide","2","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","454","OP-GH-FST344-1MG","OP-R-00454","Follistatin-344 1mg Research Peptide","Follistatin-344","Growth Hormone Research","Research peptide","1","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","455","OP-IMM-KPV-10MG","OP-R-00455","KPV 10 mg Research Peptide","KPV","Regenerative Biology Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","456","OP-LON-PINEALON-5MG","OP-R-00456","Pinealon 5mg Research Peptide","Pinealon","Longevity Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","457","OP-COG-DIHEXA-10MG","OP-R-00457","Dihexa 10mg Research Peptide","Dihexa","Cognitive Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","458","OP-COG-DSIP-5MG","OP-R-00458","DSIP 5 mg Research Peptide","DSIP","Cognitive Systems Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","459","OP-COG-PT141-10MG","OP-R-00459","PT-141 10 mg Research Peptide","PT-141","Cognitive Systems Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","460","OP-MEL-MT2-10MG","OP-R-00460","Melanotan II 10mg Research Peptide","Melanotan II","Cellular Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","461","OP-REC-ARA290-10MG","OP-R-00461","ARA-290 10mg Research Peptide","ARA-290","Cellular Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","462","OP-REC-TB4-10MG","OP-R-00462","Thymosin Beta-4 10mg Research Peptide","Thymosin Beta-4","Cellular Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","815","OP-GH-CJC1295-NODAC-2MG","OP-R-00815","CJC-1295 (No DAC) 2mg Research Peptide","CJC-1295 (No DAC)","Growth Hormone Research","Research peptide","2","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","3395","OP-MET-RETA-5MG","OP-R-03395","Retatrutide 5 mg Research Peptide","Retatrutide","Metabolic Systems Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","3396","OP-MET-RETA-20MG","OP-R-03396","Retatrutide 20 mg Research Peptide","Retatrutide","Metabolic Systems Research","Research peptide","20","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","3397","OP-MET-SEMA-5MG","OP-R-03397","Semaglutide 5 mg Research Peptide","Semaglutide","Metabolic Systems Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","3398","OP-REC-BPC157-5MG","OP-R-03398","BPC-157 5 mg Research Peptide","BPC-157","Regenerative Biology Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","3619","OP-GH-CJC1295-NODAC-5MG","OP-R-03619","CJC-1295 No DAC 5 mg Research Peptide","CJC-1295 No DAC","Growth Hormone Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","3620","OP-MET-TIRZ-20MG","OP-R-03620","Tirzepatide 20 mg Research Peptide","Tirzepatide","Metabolic Systems Research","Research peptide","20","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","55","OP-REC-BPCTB-20MG","OP-R-00055","BPC-157 10 mg + TB-500 10 mg Research Blend","BPC-157 + TB-500","Regenerative Biology Research","Research peptide blend","20","mg","","","","","simple","Strength is total blend mass per vial; component amounts are preserved in the product name.
Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","1942","OP-MET-SEMACAGRI-10MG","OP-R-01942","Semaglutide 5 mg + Cagrilintide 5 mg Research Blend","Semaglutide + Cagrilintide","Metabolic Systems Research","Research peptide blend","10","mg","","","","","simple","Strength is total blend mass per vial; component amounts are preserved in the product name.
Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","1943","OPL-BLEND-RETA-CAGRI","OP-R-01943","Retatrutide + Cagrilintide Blend Research Peptide","Retatrutide + Cagrilintide","Metabolic Research","Research peptide blend","","","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","1945","OPL-BLEND-BPC-KPV","OP-R-01945","BPC-157 + KPV Blend Research Peptide","BPC-157 + KPV","Immune Research","Research peptide blend","","","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","1946","OPL-BLEND-MOTSC-SS31","OP-R-01946","MOTS-c + SS-31 Blend Research Peptide","MOTS-c + SS-31","Longevity Research","Research peptide blend","","","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","1947","OPL-BLEND-EPIT-PIN","OP-R-01947","Epitalon + Pinealon Blend Research Peptide","Epitalon + Pinealon","Longevity Research","Research peptide blend","","","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","1948","OP-REC-KLOW-80MG","OP-R-01948","KLOW Research Blend 80 mg","KLOW","Regenerative Biology Research","Research peptide blend","80","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
The export does not identify this named blend’s component composition. Canonical name is a catalog label only.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","1949","OPL-BLEND-GLP2TZ","OP-R-01949","GLP-2TZ Blend Research Peptide","GLP-2TZ","Metabolic Research","Research peptide blend","","","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
The export does not identify this named blend’s component composition. Canonical name is a catalog label only.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","1950","OPL-BLEND-GLP3RT","OP-R-01950","GLP-3RT Blend Research Peptide","GLP-3RT","Metabolic Research","Research peptide blend","","","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
The export does not identify this named blend’s component composition. Canonical name is a catalog label only.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","3621","OP-REC-KPVGHK-60MG","OP-R-03621","KPV 10 mg + GHK-Cu 50 mg Research Blend","KPV + GHK-Cu","Regenerative Biology Research","Research peptide blend","60","mg","","","","","simple","Strength is total blend mass per vial; component amounts are preserved in the product name.
Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","816","OP-AUX-BACWATER-10ML","OP-R-00816","Bacteriostatic Water 10 mL Research Support","Bacteriostatic Water","Research Support","Research support","","","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","3454","OP-KIT-TIRZ-10MG-6","OP-R-03454","Tirzepatide 10 mg - 6 Vial Research Kit","Tirzepatide","Metabolic Systems Research","Research peptide","10","mg","","6","vial","","simple","Strength is per vial; package quantity is 6 vials, not 6 kits.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3457","OP-KIT-SEMA-5MG-6","OP-R-03457","Semaglutide 5 mg - 6 Vial Research Kit","Semaglutide","Metabolic Systems Research","Research peptide","5","mg","","6","vial","","simple","Strength is per vial; package quantity is 6 vials, not 6 kits.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3459","OP-KIT-NAD-500MG-6","OP-R-03459","NAD+ 500 mg - 6 Vial Research Kit","NAD+","Cellular Energy Research","Research material","500","mg","","6","vial","","simple","Strength is per vial; package quantity is 6 vials, not 6 kits.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3463","OP-KIT-SELANK-5MG-6","OP-R-03463","Selank 5 mg - 6 Vial Research Kit","Selank","Cognitive Systems Research","Research peptide","5","mg","","6","vial","","simple","Strength is per vial; package quantity is 6 vials, not 6 kits.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3465","OP-KIT-RETA-5MG-6","OP-R-03465","Retatrutide 5 mg - 6 Vial Research Kit","Retatrutide","Metabolic Systems Research","Research peptide","5","mg","","6","vial","","simple","Strength is per vial; package quantity is 6 vials, not 6 kits.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3468","OP-KIT-GHKCU-50MG-6","OP-R-03468","GHK-Cu 50 mg - 6 Vial Research Kit","GHK-Cu","Regenerative Biology Research","Research peptide","50","mg","","6","vial","","simple","Strength is per vial; package quantity is 6 vials, not 6 kits.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3470","OP-KIT-RETA-20MG-6","OP-R-03470","Retatrutide 20 mg - 6 Vial Research Kit","Retatrutide","Metabolic Systems Research","Research peptide","20","mg","","6","vial","","simple","Strength is per vial; package quantity is 6 vials, not 6 kits.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3472","OP-KIT-CAGRI-5MG-6","OP-R-03472","Cagrilintide 5 mg - 6 Vial Research Kit","Cagrilintide","Metabolic Systems Research","Research peptide","5","mg","","6","vial","","simple","Strength is per vial; package quantity is 6 vials, not 6 kits.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3447","OP-BUNDLE-3","OP-R-03447","Build Your Research Bundle - 3 Vials","Build Your Research Bundle - 3 Vials","Research Bundles","Research bundle","","","","3","vial","","mix-and-match","Configurable bundle; no single fixed strength. Physical forms depend on selected components.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3450","OP-BUNDLE-6","OP-R-03450","Build Your Research Bundle - 6 Vials","Build Your Research Bundle - 6 Vials","Research Bundles","Research bundle","","","","6","vial","","mix-and-match","Configurable bundle; no single fixed strength. Physical forms depend on selected components.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","3452","OP-BUNDLE-9","OP-R-03452","Build Your Research Bundle - 9 Vials","Build Your Research Bundle - 9 Vials","Research Bundles","Research bundle","","","","9","vial","","mix-and-match","Configurable bundle; no single fixed strength. Physical forms depend on selected components.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Package count comes from the named bundle or kit."
"woocommerce:oligopolypeptides.com","70","OP-STK-ADVANCED-MULTIPATHWAY","OP-R-00070","Advanced Multi-Pathway Research Collection","Advanced Multi-Pathway Research Collection","Research Collections","Research collection","","","","","","","mix-and-match, virtual","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","468","OP-STK-LONGEVITY","OP-R-00468","Longevity Research Collection","Longevity Research Collection","Cellular Energy Research","Research collection","","","","","","","mix-and-match, virtual","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","469","OP-STK-COGNITIVE","OP-R-00469","Neurobiology Research Panel","Neurobiology Research Panel","Cognitive Research","Research collection","","","","","","","simple","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","470","OP-STK-GHAXIS","OP-R-00470","Growth-Hormone Axis Research Panel","Growth-Hormone Axis Research Panel","Growth Hormone Research","Research collection","","","","","","","simple","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","471","OP-STK-ANTIAGING-REPAIR","OP-R-00471","Longevity & Cellular Research Stack 2026","Longevity & Cellular Research Stack 2026","Longevity Research","Research collection","","","","","","","simple","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","472","OP-STK-IMMUNE","OP-R-00472","Immune Optimization Research Stack","Immune Optimization Research Stack","Immune Research","Research collection","","","","","","","simple","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","473","OP-STK-PERFORMANCE-RECOVERY","OP-R-00473","Comparative Signaling Research Panel","Comparative Signaling Research Panel","Cellular Research","Research collection","","","","","","","simple","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","477","OP-STK-RECOVERY-CELLULAR","OP-R-00477","Cellular Response Research Panel","Cellular Response Research Panel","Cellular Research","Research collection","","","","","","","simple","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","478","OP-STK-RECOVERY-SUPPORT","OP-R-00478","Tissue Response Research Panel","Tissue Response Research Panel","Recovery Research","Research collection","","","","","","","simple","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","479","OP-STK-STARTER","OP-R-00479","Introductory Analytical Reference Set","Introductory Analytical Reference Set","Recovery Research","Research collection","","","","","","","simple","Components, their strengths, and package configuration are absent from this export. Do not invent a single-vial strength or count.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
